	Resturant	Rating_description	Ratings	Cuisine	No_of_Reviews
0	Five Guys OK-1845 611 N. Perkins Road, Ste	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	American	21
1	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Rated 3.9 out of 5 stars based on 62 reviews.	3.9	American	62
2	Rib Crib BBQ & Grill (103 South Perkins Road)	A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.	4.7	American	44
3	Red Lobster (102 E Hall of Fame Ave)	Rated 4.1 out of 5 stars based on 19 reviews.	4.1	American	19
4	Arby's (1126)	Rated 4.3 out of 5 stars based on 42 reviews.	4.3	American	42
5	Maggiano's Italian Classics (310 E. Hall of Fame Ave.)	Rated 3.9 out of 5 stars based on 19 reviews.	3.9	American	19
6	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	American	21
7	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	American	20
8	It's Just Wings (310 E. Hall of Fame Ave.)	Rated 4.2 out of 5 stars based on 13 reviews.	4.2	American	13
9	Jersey Mike's Subs (1717 N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 29 reviews.	4.9	American	29
10	Granny's Kitchen (Stillwater)	Rated 4.1 out of 5 stars based on 15 reviews.	4.1	American	15
11	Old School Bagel Cafe (Stillwater)	Rated 3.9 out of 5 stars based on 12 reviews.	3.9	American	12
12	DON PIBIL GRILL	A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.	4.7	American	45
13	Palominos Mexican Restaurant	Rated 3.8 out of 5 stars based on 13 reviews.	3.8	American	13
14	Cafe 88	Rated 4.5 out of 5 stars based on 23 reviews.	4.5	Asian	23
15	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Asian	61
16	Himalayan kitchen	A top rated restaurant with 4.7 out of 5 stars based on 59 reviews.	4.7	Asian	59
17	Insomnia Cookies (215 S Washington St)	A top rated restaurant with 4.7 out of 5 stars based on 19 reviews.	4.7	Bakery	19
18	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	Bakery	20
19	Schlotzsky's Deli (N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.	4.9	Bakery	26
20	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	A top rated restaurant with 4.6 out of 5 stars based on 90 reviews.	4.6	Mexican	90
21	DON PIBIL GRILL	A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.	4.7	Mexican	45
22	Palominos Mexican Restaurant	Rated 3.8 out of 5 stars based on 13 reviews.	3.8	Mexican	13
23	Cafe 88	Rated 4.5 out of 5 stars based on 23 reviews.	4.5	Chinese	23
24	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Chinese	61
25	Jersey Mike's Subs (1717 N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 29 reviews.	4.9	Sandwich	29
26	McAlister's Deli - 711 - Stillwater OK (1109)	A top rated restaurant with 4.8 out of 5 stars based on 53 reviews.	4.8	Sandwich	53
27	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	Sandwich	20
28	Wingstop (312 N. Perkins Rd)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Sandwich	61
29	Five Guys OK-1845 611 N. Perkins Road, Ste	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Sandwich	21
30	Schlotzsky's Deli (N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.	4.9	Sandwich	26
31	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Rated 3.9 out of 5 stars based on 62 reviews.	3.9	Sandwich	62
32	Rib Crib BBQ & Grill (103 South Perkins Road)	A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.	4.7	Sandwich	44
33	Tropical Smoothie Cafe - Stillwater	A top rated restaurant with 4.7 out of 5 stars based on 33 reviews.	4.7	Sandwich	33
34	Red Lobster (102 E Hall of Fame Ave)	Rated 4.1 out of 5 stars based on 19 reviews.	4.1	Sandwich	19
35	Arby's (1126)	Rated 4.3 out of 5 stars based on 42 reviews.	4.3	Sandwich	42
36	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Sandwich	21
37	Papa Johns (925 N Boomer Rd)	A top rated restaurant with 4.6 out of 5 stars based on 56 reviews.	4.6	Sandwich	56
38	Granny's Kitchen (Stillwater)	Rated 4.1 out of 5 stars based on 15 reviews.	4.1	Sandwich	15
39	Old School Bagel Cafe (Stillwater)	Rated 3.9 out of 5 stars based on 12 reviews.	3.9	Sandwich	12
40	DON PIBIL GRILL	A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.	4.7	Sandwich	45
41	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Fast Food	21
42	Arby's (1126)	Rated 4.3 out of 5 stars based on 42 reviews.	4.3	Fast Food	42
43	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Fast Food	61
44	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Rated 3.9 out of 5 stars based on 62 reviews.	3.9	Fast Food	62
45	Tropical Smoothie Cafe - Stillwater	A top rated restaurant with 4.7 out of 5 stars based on 33 reviews.	4.7	Fast Food	33
46	Five Guys OK-1845 611 N. Perkins Road, Ste	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Coffee and Tea	21
47	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	Coffee and Tea	20
48	Cafe 88	Rated 4.5 out of 5 stars based on 23 reviews.	4.5	Coffee and Tea	23
49	Schlotzsky's Deli (N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.	4.9	Coffee and Tea	26
50	McAlister's Deli - 711 - Stillwater OK (1109)	A top rated restaurant with 4.8 out of 5 stars based on 53 reviews.	4.8	Coffee and Tea	53
51	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Coffee and Tea	21
52	Rib Crib BBQ & Grill (103 South Perkins Road)	A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.	4.7	Coffee and Tea	44
53	Red Lobster (102 E Hall of Fame Ave)	Rated 4.1 out of 5 stars based on 19 reviews.	4.1	Coffee and Tea	19
54	Chili's Grill & Bar (310 E. Hall of Fame Ave.)	Rated 3.9 out of 5 stars based on 62 reviews.	3.9	Coffee and Tea	62
55	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	A top rated restaurant with 4.6 out of 5 stars based on 90 reviews.	4.6	Coffee and Tea	90
56	Arby's (1126)	Rated 4.3 out of 5 stars based on 42 reviews.	4.3	Coffee and Tea	42
57	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Coffee and Tea	61
58	Granny's Kitchen (Stillwater)	Rated 4.1 out of 5 stars based on 15 reviews.	4.1	Coffee and Tea	15
59	Himalayan kitchen	A top rated restaurant with 4.7 out of 5 stars based on 59 reviews.	4.7	Coffee and Tea	59
60	Old School Bagel Cafe (Stillwater)	Rated 3.9 out of 5 stars based on 12 reviews.	3.9	Coffee and Tea	12
61	Palominos Mexican Restaurant	Rated 3.8 out of 5 stars based on 13 reviews.	3.8	Coffee and Tea	13
