,Resturant,rating description,ratings,cusine
0,"Five Guys OK-1845 611 N. Perkins Road, Ste",Rated 4.5 out of 5 stars based on 21 reviews.,4.5,American
1,Chili's Grill & Bar (310 E. Hall of Fame Ave.),Rated 3.9 out of 5 stars based on 62 reviews.,3.9,American
2,Rib Crib BBQ & Grill (103 South Perkins Road),A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.,4.7,American
3,Red Lobster (102 E Hall of Fame Ave),Rated 4.1 out of 5 stars based on 19 reviews.,4.1,American
4,Arby's (1126),Rated 4.3 out of 5 stars based on 42 reviews.,4.3,American
5,Maggiano's Italian Classics (310 E. Hall of Fame Ave.),Rated 3.9 out of 5 stars based on 19 reviews.,3.9,American
6,Burger King (107 North Perkins Road),Rated 4.5 out of 5 stars based on 21 reviews.,4.5,American
7,Panera (113 West Hall of Fame Avenue ),A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.,4.8,American
8,It's Just Wings (310 E. Hall of Fame Ave.),Rated 4.2 out of 5 stars based on 13 reviews.,4.2,American
9,Jersey Mike's Subs (1717 N Perkins Rd),A top rated restaurant with 4.9 out of 5 stars based on 29 reviews.,4.9,American
10,Granny's Kitchen (Stillwater),Rated 4.1 out of 5 stars based on 15 reviews.,4.1,American
11,Old School Bagel Cafe (Stillwater),Rated 3.9 out of 5 stars based on 12 reviews.,3.9,American
12,DON PIBIL GRILL,A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.,4.7,American
13,Palominos Mexican Restaurant,Rated 3.8 out of 5 stars based on 13 reviews.,3.8,American
14,Cafe 88,Rated 4.5 out of 5 stars based on 23 reviews.,4.5,Asian
15,Panda Express (2080 North Perkins Rd.),Rated 4.5 out of 5 stars based on 61 reviews.,4.5,Asian
16,Himalayan kitchen,A top rated restaurant with 4.7 out of 5 stars based on 59 reviews.,4.7,Asian
17,Insomnia Cookies (215 S Washington St),A top rated restaurant with 4.7 out of 5 stars based on 19 reviews.,4.7,Bakery
18,Panera (113 West Hall of Fame Avenue ),A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.,4.8,Bakery
19,Schlotzsky's Deli (N Perkins Rd),A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.,4.9,Bakery
20,Chipotle Mexican Grill (415 E Hall Of Fame Ave),A top rated restaurant with 4.6 out of 5 stars based on 90 reviews.,4.6,Mexican
21,DON PIBIL GRILL,A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.,4.7,Mexican
22,Palominos Mexican Restaurant,Rated 3.8 out of 5 stars based on 13 reviews.,3.8,Mexican
23,Cafe 88,Rated 4.5 out of 5 stars based on 23 reviews.,4.5,Chinese
24,Panda Express (2080 North Perkins Rd.),Rated 4.5 out of 5 stars based on 61 reviews.,4.5,Chinese
25,Jersey Mike's Subs (1717 N Perkins Rd),A top rated restaurant with 4.9 out of 5 stars based on 29 reviews.,4.9,Sandwich
26,McAlister's Deli - 711 - Stillwater OK (1109),A top rated restaurant with 4.8 out of 5 stars based on 53 reviews.,4.8,Sandwich
27,Panera (113 West Hall of Fame Avenue ),A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.,4.8,Sandwich
28,Wingstop (312 N. Perkins Rd),Rated 4.5 out of 5 stars based on 61 reviews.,4.5,Sandwich
29,"Five Guys OK-1845 611 N. Perkins Road, Ste",Rated 4.5 out of 5 stars based on 21 reviews.,4.5,Sandwich
30,Schlotzsky's Deli (N Perkins Rd),A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.,4.9,Sandwich
31,Chili's Grill & Bar (310 E. Hall of Fame Ave.),Rated 3.9 out of 5 stars based on 62 reviews.,3.9,Sandwich
32,Rib Crib BBQ & Grill (103 South Perkins Road),A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.,4.7,Sandwich
33,Tropical Smoothie Cafe - Stillwater,A top rated restaurant with 4.7 out of 5 stars based on 33 reviews.,4.7,Sandwich
34,Red Lobster (102 E Hall of Fame Ave),Rated 4.1 out of 5 stars based on 19 reviews.,4.1,Sandwich
35,Arby's (1126),Rated 4.3 out of 5 stars based on 42 reviews.,4.3,Sandwich
36,Burger King (107 North Perkins Road),Rated 4.5 out of 5 stars based on 21 reviews.,4.5,Sandwich
37,Papa Johns (925 N Boomer Rd),A top rated restaurant with 4.6 out of 5 stars based on 56 reviews.,4.6,Sandwich
38,Granny's Kitchen (Stillwater),Rated 4.1 out of 5 stars based on 15 reviews.,4.1,Sandwich
39,Old School Bagel Cafe (Stillwater),Rated 3.9 out of 5 stars based on 12 reviews.,3.9,Sandwich
40,DON PIBIL GRILL,A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.,4.7,Sandwich
41,Burger King (107 North Perkins Road),Rated 4.5 out of 5 stars based on 21 reviews.,4.5,Fast Food
42,Arby's (1126),Rated 4.3 out of 5 stars based on 42 reviews.,4.3,Fast Food
43,Panda Express (2080 North Perkins Rd.),Rated 4.5 out of 5 stars based on 61 reviews.,4.5,Fast Food
44,Chili's Grill & Bar (310 E. Hall of Fame Ave.),Rated 3.9 out of 5 stars based on 62 reviews.,3.9,Fast Food
45,Tropical Smoothie Cafe - Stillwater,A top rated restaurant with 4.7 out of 5 stars based on 33 reviews.,4.7,Fast Food
