	index	Resturant	Rating_description	Ratings	Cuisine	No_of_Reviews
0	0	Five Guys OK-1845 611 N. Perkins Road, Ste	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	American	21
1	2	Rib Crib BBQ & Grill (103 South Perkins Road)	A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.	4.7	American	44
2	6	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	American	21
3	7	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	American	20
4	9	Jersey Mike's Subs (1717 N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 29 reviews.	4.9	American	29
5	12	DON PIBIL GRILL	A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.	4.7	American	45
6	14	Cafe 88	Rated 4.5 out of 5 stars based on 23 reviews.	4.5	Asian	23
7	15	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Asian	61
8	16	Himalayan kitchen	A top rated restaurant with 4.7 out of 5 stars based on 59 reviews.	4.7	Asian	59
9	17	Insomnia Cookies (215 S Washington St)	A top rated restaurant with 4.7 out of 5 stars based on 19 reviews.	4.7	Bakery	19
10	18	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	Bakery	20
11	19	Schlotzsky's Deli (N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.	4.9	Bakery	26
12	20	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	A top rated restaurant with 4.6 out of 5 stars based on 90 reviews.	4.6	Mexican	90
13	21	DON PIBIL GRILL	A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.	4.7	Mexican	45
14	23	Cafe 88	Rated 4.5 out of 5 stars based on 23 reviews.	4.5	Chinese	23
15	24	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Chinese	61
16	25	Jersey Mike's Subs (1717 N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 29 reviews.	4.9	Sandwich	29
17	26	McAlister's Deli - 711 - Stillwater OK (1109)	A top rated restaurant with 4.8 out of 5 stars based on 53 reviews.	4.8	Sandwich	53
18	27	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	Sandwich	20
19	28	Wingstop (312 N. Perkins Rd)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Sandwich	61
20	29	Five Guys OK-1845 611 N. Perkins Road, Ste	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Sandwich	21
21	30	Schlotzsky's Deli (N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.	4.9	Sandwich	26
22	32	Rib Crib BBQ & Grill (103 South Perkins Road)	A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.	4.7	Sandwich	44
23	33	Tropical Smoothie Cafe - Stillwater	A top rated restaurant with 4.7 out of 5 stars based on 33 reviews.	4.7	Sandwich	33
24	36	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Sandwich	21
25	37	Papa Johns (925 N Boomer Rd)	A top rated restaurant with 4.6 out of 5 stars based on 56 reviews.	4.6	Sandwich	56
26	40	DON PIBIL GRILL	A top rated restaurant with 4.7 out of 5 stars based on 45 reviews.	4.7	Sandwich	45
27	41	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Fast Food	21
28	43	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Fast Food	61
29	45	Tropical Smoothie Cafe - Stillwater	A top rated restaurant with 4.7 out of 5 stars based on 33 reviews.	4.7	Fast Food	33
30	46	Five Guys OK-1845 611 N. Perkins Road, Ste	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Coffee and Tea	21
31	47	Panera (113 West Hall of Fame Avenue )	A top rated restaurant with 4.8 out of 5 stars based on 20 reviews.	4.8	Coffee and Tea	20
32	48	Cafe 88	Rated 4.5 out of 5 stars based on 23 reviews.	4.5	Coffee and Tea	23
33	49	Schlotzsky's Deli (N Perkins Rd)	A top rated restaurant with 4.9 out of 5 stars based on 26 reviews.	4.9	Coffee and Tea	26
34	50	McAlister's Deli - 711 - Stillwater OK (1109)	A top rated restaurant with 4.8 out of 5 stars based on 53 reviews.	4.8	Coffee and Tea	53
35	51	Burger King (107 North Perkins Road)	Rated 4.5 out of 5 stars based on 21 reviews.	4.5	Coffee and Tea	21
36	52	Rib Crib BBQ & Grill (103 South Perkins Road)	A top rated restaurant with 4.7 out of 5 stars based on 44 reviews.	4.7	Coffee and Tea	44
37	55	Chipotle Mexican Grill (415 E Hall Of Fame Ave)	A top rated restaurant with 4.6 out of 5 stars based on 90 reviews.	4.6	Coffee and Tea	90
38	57	Panda Express (2080 North Perkins Rd.)	Rated 4.5 out of 5 stars based on 61 reviews.	4.5	Coffee and Tea	61
39	59	Himalayan kitchen	A top rated restaurant with 4.7 out of 5 stars based on 59 reviews.	4.7	Coffee and Tea	59
